SUID,shared name,shared interaction,name,selected,interaction,stringdb::score,stringdb::interspecies,stringdb::neighborhood,stringdb::fusion,stringdb::cooccurrence,stringdb::coexpression,stringdb::experiments,stringdb::databases,stringdb::textmining
170888,9606.ENSP00000323588 (pp) 9606.ENSP00000400175,pp,9606.ENSP00000323588 (pp) 9606.ENSP00000400175,False,pp,0.567,,0.0,0.0,0.0,0.0,0.292,0.0,0.413
170894,9606.ENSP00000323588 (pp) 9606.ENSP00000349723,pp,9606.ENSP00000323588 (pp) 9606.ENSP00000349723,False,pp,0.57,,0.0,0.0,0.0,0.049,0.094,0.0,0.541
170387,9606.ENSP00000254108 (pp) 9606.ENSP00000259915,pp,9606.ENSP00000254108 (pp) 9606.ENSP00000259915,False,pp,0.562,,0.0,0.0,0.0,0.097,0.109,0.0,0.5
170384,9606.ENSP00000252506 (pp) 9606.ENSP00000259915,pp,9606.ENSP00000252506 (pp) 9606.ENSP00000259915,False,pp,0.522,,0.0,0.0,0.0,0.042,0.422,0.0,0.206
170897,9606.ENSP00000323588 (pp) 9606.ENSP00000377047,pp,9606.ENSP00000323588 (pp) 9606.ENSP00000377047,False,pp,0.586,,0.0,0.0,0.0,0.416,0.046,0.0,0.317
170900,9606.ENSP00000323588 (pp) 9606.ENSP00000430432,pp,9606.ENSP00000323588 (pp) 9606.ENSP00000430432,False,pp,0.617,,0.0,0.0,0.0,0.042,0.354,0.0,0.431
170906,9606.ENSP00000323588 (pp) 9606.ENSP00000359864,pp,9606.ENSP00000323588 (pp) 9606.ENSP00000359864,False,pp,0.626,,0.0,0.0,0.0,0.122,0.292,0.0,0.448
170393,9606.ENSP00000254108 (pp) 9606.ENSP00000316042,pp,9606.ENSP00000254108 (pp) 9606.ENSP00000316042,False,pp,0.569,,0.0,0.0,0.0,0.243,0.392,0.0,0.138
170396,9606.ENSP00000254108 (pp) 9606.ENSP00000482169,pp,9606.ENSP00000254108 (pp) 9606.ENSP00000482169,False,pp,0.67,,0.0,0.0,0.0,0.0,0.0,0.0,0.67
170909,9606.ENSP00000323588 (pp) 9606.ENSP00000375921,pp,9606.ENSP00000323588 (pp) 9606.ENSP00000375921,False,pp,0.655,,0.0,0.0,0.0,0.129,0.065,0.0,0.61
