SUID,shared name,shared interaction,name,selected,interaction,stringdb::score,stringdb::interspecies,stringdb::neighborhood,stringdb::fusion,stringdb::cooccurrence,stringdb::coexpression,stringdb::experiments,stringdb::databases,stringdb::textmining
196117,9606.ENSP00000244050 (pp) 9606.ENSP00000371133,pp,9606.ENSP00000244050 (pp) 9606.ENSP00000371133,False,pp,0.85,,0.0,0.0,0.0,0.0,0.83,0.0,0.159
196123,9606.ENSP00000244050 (pp) 9606.ENSP00000385823,pp,9606.ENSP00000244050 (pp) 9606.ENSP00000385823,False,pp,0.854,,0.0,0.0,0.0,0.052,0.0,0.5,0.718
196633,9606.ENSP00000338057 (pp) 9606.ENSP00000379339,pp,9606.ENSP00000338057 (pp) 9606.ENSP00000379339,False,pp,0.637,,0.0,0.0,0.0,0.21,0.52,0.0,0.12
196639,9606.ENSP00000338057 (pp) 9606.ENSP00000429374,pp,9606.ENSP00000338057 (pp) 9606.ENSP00000429374,False,pp,0.652,,0.0,0.0,0.0,0.12,0.621,0.0,0.0
196636,9606.ENSP00000338057 (pp) 9606.ENSP00000435777,pp,9606.ENSP00000338057 (pp) 9606.ENSP00000435777,False,pp,0.642,,0.0,0.0,0.0,0.147,0.522,0.0,0.194
196642,9606.ENSP00000338057 (pp) 9606.ENSP00000341885,pp,9606.ENSP00000338057 (pp) 9606.ENSP00000341885,False,pp,0.653,,0.0,0.0,0.0,0.122,0.621,0.0,0.0
196129,9606.ENSP00000245810 (pp) 9606.ENSP00000362680,pp,9606.ENSP00000245810 (pp) 9606.ENSP00000362680,False,pp,0.632,,0.0,0.0,0.0,0.0,0.0,0.5,0.294
196645,9606.ENSP00000338057 (pp) 9606.ENSP00000354580,pp,9606.ENSP00000338057 (pp) 9606.ENSP00000354580,False,pp,0.934,,0.0,0.0,0.0,0.241,0.916,0.0,0.0
196138,9606.ENSP00000251020 (pp) 9606.ENSP00000483562,pp,9606.ENSP00000251020 (pp) 9606.ENSP00000483562,False,pp,0.668,,0.0,0.0,0.0,0.109,0.54,0.0,0.255
196651,9606.ENSP00000341189 (pp) 9606.ENSP00000369756,pp,9606.ENSP00000341189 (pp) 9606.ENSP00000369756,False,pp,0.756,,0.0,0.0,0.0,0.11,0.0,0.4,0.58
196147,9606.ENSP00000258739 (pp) 9606.ENSP00000381293,pp,9606.ENSP00000258739 (pp) 9606.ENSP00000381293,False,pp,0.589,,0.0,0.0,0.0,0.105,0.0,0.5,0.156
196657,9606.ENSP00000341189 (pp) 9606.ENSP00000462468,pp,9606.ENSP00000341189 (pp) 9606.ENSP00000462468,False,pp,0.837,,0.0,0.0,0.0,0.092,0.795,0.0,0.194
196663,9606.ENSP00000341189 (pp) 9606.ENSP00000346839,pp,9606.ENSP00000341189 (pp) 9606.ENSP00000346839,False,pp,0.937,,0.0,0.0,0.0,0.084,0.0,0.65,0.822
196660,9606.ENSP00000341189 (pp) 9606.ENSP00000364995,pp,9606.ENSP00000341189 (pp) 9606.ENSP00000364995,False,pp,0.909,,0.0,0.0,0.0,0.067,0.0,0.9,0.11
196666,9606.ENSP00000341189 (pp) 9606.ENSP00000401303,pp,9606.ENSP00000341189 (pp) 9606.ENSP00000401303,False,pp,0.995,,0.0,0.0,0.0,0.049,0.292,0.9,0.946
196153,9606.ENSP00000258739 (pp) 9606.ENSP00000402346,pp,9606.ENSP00000258739 (pp) 9606.ENSP00000402346,False,pp,0.604,,0.0,0.0,0.0,0.049,0.0,0.5,0.234
196159,9606.ENSP00000262768 (pp) 9606.ENSP00000362680,pp,9606.ENSP00000262768 (pp) 9606.ENSP00000362680,False,pp,0.595,,0.0,0.0,0.0,0.055,0.045,0.0,0.588
196669,9606.ENSP00000341189 (pp) 9606.ENSP00000384675,pp,9606.ENSP00000341189 (pp) 9606.ENSP00000384675,False,pp,0.999,,0.0,0.0,0.0,0.042,0.994,0.8,0.415
196162,9606.ENSP00000262768 (pp) 9606.ENSP00000346839,pp,9606.ENSP00000262768 (pp) 9606.ENSP00000346839,False,pp,0.713,,0.0,0.0,0.0,0.126,0.16,0.0,0.64
196675,9606.ENSP00000341885 (pp) 9606.ENSP00000355206,pp,9606.ENSP00000341885 (pp) 9606.ENSP00000355206,False,pp,0.5,,0.0,0.0,0.0,0.121,0.0,0.0,0.455
196672,9606.ENSP00000341189 (pp) 9606.ENSP00000362680,pp,9606.ENSP00000341189 (pp) 9606.ENSP00000362680,False,pp,0.999,,0.0,0.0,0.0,0.072,0.929,0.9,0.987
196678,9606.ENSP00000341885 (pp) 9606.ENSP00000388806,pp,9606.ENSP00000341885 (pp) 9606.ENSP00000388806,False,pp,0.628,,0.0,0.0,0.0,0.231,0.429,0.0,0.221
196171,9606.ENSP00000265069 (pp) 9606.ENSP00000451291,pp,9606.ENSP00000265069 (pp) 9606.ENSP00000451291,False,pp,0.567,,0.0,0.0,0.0,0.149,0.458,0.0,0.137
196681,9606.ENSP00000341885 (pp) 9606.ENSP00000354580,pp,9606.ENSP00000341885 (pp) 9606.ENSP00000354580,False,pp,0.982,,0.085,0.0,0.0,0.834,0.842,0.0,0.349
196174,9606.ENSP00000265753 (pp) 9606.ENSP00000379339,pp,9606.ENSP00000265753 (pp) 9606.ENSP00000379339,False,pp,0.561,,0.0,0.0,0.0,0.238,0.429,0.0,0.073
196687,9606.ENSP00000341885 (pp) 9606.ENSP00000435777,pp,9606.ENSP00000341885 (pp) 9606.ENSP00000435777,False,pp,0.999,,0.0,0.0,0.0,0.991,0.995,0.9,0.718
196684,9606.ENSP00000341885 (pp) 9606.ENSP00000379339,pp,9606.ENSP00000341885 (pp) 9606.ENSP00000379339,False,pp,0.999,,0.102,0.0,0.0,0.937,0.992,0.9,0.573
196690,9606.ENSP00000341885 (pp) 9606.ENSP00000367806,pp,9606.ENSP00000341885 (pp) 9606.ENSP00000367806,False,pp,0.999,,0.102,0.0,0.0,0.986,0.996,0.9,0.821
196177,9606.ENSP00000265753 (pp) 9606.ENSP00000311430,pp,9606.ENSP00000265753 (pp) 9606.ENSP00000311430,False,pp,0.6,,0.0,0.0,0.0,0.473,0.19,0.0,0.137
196183,9606.ENSP00000265753 (pp) 9606.ENSP00000367806,pp,9606.ENSP00000265753 (pp) 9606.ENSP00000367806,False,pp,0.663,,0.0,0.0,0.0,0.436,0.409,0.0,0.07
