gene_id	gene_symbol	baseMean	log2FoldChange	lfcSE	pvalue	padj
ENSG00000103254.10	ANTKMT	93.60282763182954	1.242334354115816	0.44725670538854007	1.895681082119595e-4	0.009652543556513613
ENSG00000286342.3	ENSG00000286342	38.92233691800927	1.388443200268792	0.49978285207452666	1.919701809305688e-4	0.009746520838202443
ENSG00000176532.4	PRR15	63.58059445995324	1.8005277410513485	0.6598768816081398	1.9880400086355013e-4	0.009944296275015896
ENSG00000221821.4	C6orf226	119.17636538930569	1.4767174171871644	0.5394437522717302	2.0143691273091246e-4	0.009995379499701593
ENSG00000198865.10	CCDC152	182.56420629290338	-1.2359403043794615	0.4531560379269275	2.094426043047314e-4	0.01027618111204951
ENSG00000151651.16	ADAM8	122.49117118268228	1.0745780794661135	0.399922601520932	2.5219563816435565e-4	0.011874889242168962
ENSG00000160862.13	AZGP1	17.8086208200608	-1.9132273990793591	0.7147622778108497	2.540901487945578e-4	0.011932018890845775
ENSG00000164707.16	SLC13A4	195.0442925892087	2.589866679602302	1.0072389018633539	2.624041677770739e-4	0.01219170133364251
ENSG00000164089.9	ETNPPL	55.463686137063796	2.172095944483555	0.8350240934854061	2.6509313598174983e-4	0.012203008840767852
ENSG00000164756.13	SLC30A8	64.97285090607066	2.1143329778542546	0.8175474825280012	2.752470345254682e-4	0.012490225535616841
ENSG00000030304.15	MUSK	21.52289175170112	2.2216649901265964	0.8483258556103275	2.8822148116781573e-4	0.013045187245828063
ENSG00000263503.1	MAPK8IP1P2	10.934864468327113	2.5050055049920137	0.9241330069095987	2.962612152795343e-4	0.013294471842399654
ENSG00000164241.14	C5orf63	25.224254682604357	3.20304064057092	1.2599473312560836	3.045551020408665e-4	0.013574013148467729
ENSG00000170044.9	ZPLD1	109.47505842622192	2.2802268069682334	0.904131912675179	3.071215555377554e-4	0.013653657783754627
ENSG00000088002.12	SULT2B1	14.05000315148488	1.9819011947675365	0.7522331251886578	3.1499163238676706e-4	0.013932811699208616
ENSG00000124731.13	TREM1	39.78400493850196	1.4560786231040554	0.5683253592238925	3.387456711203098e-4	0.014812635955894963
ENSG00000160298.18	C21orf58	86.5830505315318	1.1443275039707206	0.44437046033114325	3.399565913604576e-4	0.014812635955894963
ENSG00000250251.7	PKD1P6	32.18085566653531	1.3393966182661285	0.5262636222704217	3.639830045168065e-4	0.015535147309188363
ENSG00000228109.2	MELTF-AS1	47.34897602324575	1.3496134780309663	0.5345031857754078	3.721048331568845e-4	0.015743449897526546
ENSG00000159387.8	IRX6	172.58236027194647	1.4961582076487216	0.6026153341444871	3.852680206205444e-4	0.016067511069498705
ENSG00000184986.12	TMEM121	64.3152230651265	1.466372556347078	0.5887870832290014	3.9220391437769e-4	0.01631791867990408
ENSG00000289879.1	ENSG00000289879	10.659378192832296	3.513176313743221	1.3181866997139204	3.998603846558668e-4	0.016557812051139865
ENSG00000205143.5	ARID3C	52.50681332402978	1.2714997159232606	0.5106956337437547	4.0791551995486943e-4	0.01681187822948116
ENSG00000099860.9	GADD45B	80.80901818427002	-1.445728134844366	0.5865718934253665	4.089157230097805e-4	0.01681353944657116
ENSG00000103269.14	RHBDL1	108.65766393728562	1.221508779319857	0.4927680916241573	4.173916782406547e-4	0.017060570911235768
ENSG00000144029.14	MRPS5	147.11671583692709	1.0225662681064853	0.4138334936855387	4.4785121524677963e-4	0.01799211441803347
ENSG00000267696.6	ERVK-28	26.643645982545852	2.582532598404827	1.0887298357149033	4.704099850205052e-4	0.018726593858225386
ENSG00000151006.8	PRSS53	83.34757930955084	1.108170923227963	0.4532030413179922	4.734383308689825e-4	0.01876186833371289
ENSG00000272195.1	ENSG00000272195	18.519021914599605	1.5451724480463696	0.6286969052180765	4.792489628951558e-4	0.01882180456069854
ENSG00000126861.5	OMG	23.532139063259187	2.276224843287041	0.9555503180998766	4.92360975584573e-4	0.01920756090944183
ENSG00000110195.14	FOLR1	30.14001359209006	2.8620910501960837	1.228376791147702	5.035700304735616e-4	0.01958779121005777
