gene_id	gene_symbol	baseMean	log2FoldChange	lfcSE	pvalue	padj
ENSG00000111452.13	ADGRD1	34.592223240496395	-1.9835108602226141	0.5511941617747428	1.4156974590405804e-5	4.014936202166533e-4
ENSG00000103335.22	PIEZO1	159.54006690480514	-1.6056409786602286	0.44359190917176444	1.4212990329969349e-5	4.024352318148625e-4
ENSG00000254102.2	BHLHE22-AS1	14.970071035268042	2.275177711311477	0.6431943700706927	1.4587166217059657e-5	4.1105049851267145e-4
ENSG00000267633.1	ENSG00000267633	47.66495643806438	-1.8599007410231603	0.5177768735713969	1.4751529754427804e-5	4.138878900093481e-4
ENSG00000069812.11	HES2	70.62876734015383	1.8123692124999775	0.5074644127084946	1.484118506761979e-5	4.1520022794003627e-4
ENSG00000169218.14	RSPO1	116.52688786465188	-3.047101971401281	0.8618549159842577	1.5153704460774984e-5	4.212473504898336e-4
ENSG00000214401.6	KANSL1-AS1	16.149328092568112	-1.6534444330645364	0.4586288199989411	1.5249482357786754e-5	4.2247791174436587e-4
ENSG00000102780.17	DGKH	229.88413744163086	-1.696429678019988	0.4723540553343838	1.5296437173567594e-5	4.229297049243454e-4
ENSG00000198046.13	ZNF667	166.4398499803704	-2.4767410551824045	0.6998887019771469	1.5739677697031688e-5	4.3180080027315545e-4
ENSG00000182255.7	KCNA4	47.791758900288904	1.3023596134028363	0.35980984976892494	1.5909680914112576e-5	4.357869119952575e-4
ENSG00000129534.14	MIS18BP1	287.5926477724253	-1.1827768117060076	0.3248561139487268	1.603382782000781e-5	4.373702417553216e-4
ENSG00000242125.3	SNHG3	108.88414706440459	-1.0256944021626326	0.2794677149114734	1.6414144228209354e-5	4.4477035973212444e-4
ENSG00000290285.1	ENSG00000290285	110.73665886525247	-1.0955381323321538	0.29988867769481603	1.6453568128657414e-5	4.4515481869557787e-4
ENSG00000166147.15	FBN1	1520.272337718464	-2.050382315761999	0.5758520490323296	1.6862004159872803e-5	4.52045217902973e-4
ENSG00000105976.16	MET	76.38317133952224	-1.6290725778812134	0.45547509390987967	1.6936611150268425e-5	4.5335632881750385e-4
