ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0048640	negative regulation of developmental growth	17/1419	115/18870	0.005468926295223356	0.039444025934575536	0.029904608619432792	SEMA6C/NOG/WWC2/GDF15/FSTL4/KIAA0319/NTN1/RNF6/STK3/SEMA3D/SEMA3C/TRIM46/SPP1/CDKN1A/FOXP1/WWC3/SEMA3G	17
GO:0007596	blood coagulation	28/1419	224/18870	0.005535731525437636	0.039774997925216264	0.03015553604404513	PLSCR1/EDN1/PLAU/TLR4/PROCR/PDGFRA/ITGA2/ANO6/F3/F5/MYH9/HPS5/MERTK/CSRP1/TFPI/CEACAM1/VCL/MYL12A/TLN1/F2RL1/C1QTNF1/PLAT/FLNA/SHH/FZD6/AXL/F11R/RAB27A	28
GO:0140894	endolysosomal toll-like receptor signaling pathway	9/1419	45/18870	0.005618261623939715	0.04011537242124665	0.030413592006808897	COLEC12/OAS1/TLR3/RFTN1/PIK3AP1/IRAK1/TNFAIP3/F2RL1/UNC93B1	9
GO:0050708	regulation of protein secretion	32/1419	266/18870	0.0056722085719997754	0.040449937379073396	0.03066724345045668	REST/CD2AP/CD200/DOC2B/RAB11FIP1/SLC12A2/TLR4/CPT1A/RHBDF1/TCF7L2/CFTR/ITPR1/DRD4/TFAP2B/PCSK1/NOS2/EPHA5/F2RL1/EXPH5/APBB3/CCN3/TRH/TGFB2/PPARG/FOXO1/TCIRG1/GPER1/ABCC8/PDE8B/KCNJ11/INHBB/ADAM9	32
GO:0051495	positive regulation of cytoskeleton organization	24/1419	184/18870	0.005787779999462576	0.04117117817572817	0.031214054361191398	MET/EDN1/CDC42EP1/CDC42/SDC4/KIRREL1/CCN2/NPHS1/CARMIL1/PYCARD/SCIN/ROCK2/LPAR1/TACR1/ALOX15/MAPK15/F2RL1/ARHGEF5/PRKD1/AKAP9/FLNA/FHOD1/TPM1/FES	24
GO:0008544	epidermis development	43/1419	385/18870	0.005966578302992655	0.041868793626781184	0.03174295364406917	FGFR2/CYP26B1/MET/FERMT1/PLAAT4/NFKBIZ/BMP4/FGF2/GBA1/EMP1/CCN2/HES1/FLNB/CLDN4/SNAI1/ZFP36/ANXA1/LGR5/PPL/CD109/ROCK2/NHERF1/CLDN1/IRF6/GAL/EPHA2/COL7A1/KLF4/LATS2/PALLD/EXPH5/GATA6/LAMA5/CDKN1A/SHH/TGFB2/FZD6/SPINT1/ELOVL1/ADAM9/NGFR/PLEC/FGF7	43
GO:0060491	regulation of cell projection assembly	26/1419	205/18870	0.006073676521276799	0.0424116579606905	0.03215452789528618	ANLN/KLF5/ICAM1/CDC42EP1/CDC42/MNS1/CEP135/EPS8L2/TACSTD2/FAM110C/COBL/DAAM2/PLCE1/KANK1/LPAR1/ARAP1/EPS8L1/EPHA2/MYO10/MAPK15/F2RL1/DCDC2/AUTS2/PPP1R16B/SYNE2/ZMYND10	26
GO:0006260	DNA replication	33/1419	278/18870	0.006142856011525784	0.04265963767120271	0.032342534469481425	MCM10/ESCO2/E2F7/POLQ/CDC6/CCNE2/GINS4/RBBP8/E2F8/CHAF1A/DTL/FAM111A/BRCA2/FAM111B/BRCA1/RRM2/BOD1L1/ACVRL1/POLH/NFIX/ID3/GMNC/PCLAF/RFC1/MCM8/POLB/ATAD5/NFIC/RRM2B/CCNE1/BCL6/RBMS1/JADE2	33
GO:1990778	protein localization to cell periphery	40/1419	353/18870	0.0061465770667359565	0.04265963767120271	0.032342534469481425	SORL1/EPB41L2/GBP1/PID1/EFR3A/MRAP/DAB2/PALS1/NETO2/GOLGA4/RAB31/CACNG3/GPR158/ROCK2/NHERF1/RAMP1/LDLRAP1/ARHGEF16/EHD2/EPHA2/MYL12A/WDR72/C1QL3/KRT18/MACF1/FLNA/LGALS3/LAMA5/MMP14/EHD4/NHERF2/GPER1/LGI1/VAMP5/NPTX1/RAB29/VAMP8/F11R/MYADM/PLEKHF1	40
GO:0007173	epidermal growth factor receptor signaling pathway	16/1419	107/18870	0.006182280666668616	0.042855299153516956	0.03249087581932768	PIK3C2A/IFI6/PTPN3/GAREM1/ITGA1/RHBDF1/MVB12B/PLCE1/CEACAM1/SHC1/KIF16B/TGFA/GPRC5A/IQGAP1/EFEMP1/GPER1	16
GO:0048536	spleen development	8/1419	38/18870	0.006416833619638057	0.0441592711701268	0.03347948618258241	LIPA/NFKBIZ/NKX2-5/CDKN2B/POLB/BCL3/NFKB2/HOXB4	8
GO:0060306	regulation of membrane repolarization	8/1419	38/18870	0.006416833619638057	0.0441592711701268	0.03347948618258241	KCNJ2/SCN4B/AKAP9/FLNA/RNF207/KCNE1/CASQ2/NPPA	8
GO:0006869	lipid transport	49/1419	453/18870	0.0064693917415892255	0.044344154742725676	0.03361965622729089	LRAT/ABCC4/GULP1/LIPA/APOL6/PLSCR1/DAB2/EDN1/ATP10A/FABP7/CPT1A/ATP11A/APOL2/ANO6/PROCA1/STRA6/ABCA1/TTPA/ANXA1/DISP3/APOL1/CFTR/APOL3/OSBPL3/APOD/NTSR1/LDLRAP1/DRD4/ITGAV/FZD4/NOS2/GAL/YJEFN3/NME4/CEACAM1/C1QTNF1/CEL/ACSL1/SPP1/LIMA1/ABCA9/TNFAIP8L3/SHH/NMB/PPARG/SLC25A10/FURIN/SERPINA5/RBP1	49
GO:0060249	anatomical structure homeostasis	33/1419	279/18870	0.0064792479548110415	0.044344154742725676	0.03361965622729089	LIPA/B2M/COL2A1/ESRRB/SLC12A2/TMEM64/NPHP3/NFKBIZ/TLR4/ESAM/ABCC6/CCN2/GJA1/SLC39A8/RPE65/GATA2/NT5E/CLDN1/LAMA2/ALDH1A1/VCL/TNFAIP3/LAMC1/INPP5D/SPP1/IL7/NOX4/AZGP1/CSF1/TCIRG1/TJP3/ABCC8/F11R	33
GO:0006909	phagocytosis	29/1419	237/18870	0.0064825635504703275	0.044344154742725676	0.03361965622729089	GULP1/MET/COLEC12/PLSCR1/TLR4/CDC42/ITGA2/ANO6/RAB31/ADORA1/ABCA1/PLD4/DOCK1/MYH9/GATA2/ANXA1/PYCARD/MERTK/ITGAV/SPHK1/ALOX15/PTX3/F2RL1/ANXA11/SPON2/AXL/PLD2/ANXA3/RAB27A	29
GO:0002792	negative regulation of peptide secretion	9/1419	46/18870	0.006529126767006633	0.04450259044895202	0.0337397747414076	REST/CD74/F2RL1/CCN3/FOXO1/ABCC8/PDE8B/KCNJ11/INHBB	9
GO:0006858	extracellular transport	9/1419	46/18870	0.006529126767006633	0.04450259044895202	0.0337397747414076	NPHP3/GAS8/DNAAF11/CFAP45/CFAP54/NHERF1/NEK10/SPAG6/DNAH9	9
GO:0051893	regulation of focal adhesion assembly	11/1419	63/18870	0.0068377301893703035	0.04559150403685832	0.03456533790072435	PEAK1/GREM1/SDC4/ACVRL1/ROCK2/APOD/DLC1/VCL/TLN1/MACF1/MMP14	11
GO:0090109	regulation of cell-substrate junction assembly	11/1419	63/18870	0.0068377301893703035	0.04559150403685832	0.03456533790072435	PEAK1/GREM1/SDC4/ACVRL1/ROCK2/APOD/DLC1/VCL/TLN1/MACF1/MMP14	11
GO:0031943	regulation of glucocorticoid metabolic process	4/1419	11/18870	0.006840723480376988	0.04559150403685832	0.03456533790072435	REST/BMP2/NR3C1/GAL	4
GO:0032060	bleb assembly	4/1419	11/18870	0.006840723480376988	0.04559150403685832	0.03456533790072435	ANLN/EMP1/ANO6/LPAR1	4
GO:0039530	MDA-5 signaling pathway	4/1419	11/18870	0.006840723480376988	0.04559150403685832	0.03456533790072435	OAS3/IFIH1/DDX60/DHX58	4
GO:0042045	epithelial fluid transport	4/1419	11/18870	0.006840723480376988	0.04559150403685832	0.03456533790072435	EDN1/CFTR/ITPR1/SLC26A6	4
GO:0042118	endothelial cell activation	4/1419	11/18870	0.006840723480376988	0.04559150403685832	0.03456533790072435	CXCL10/BMPER/TCIM/FOXP1	4
GO:0048103	somatic stem cell division	4/1419	11/18870	0.006840723480376988	0.04559150403685832	0.03456533790072435	ZFP36L2/LBH/TGFB2/HOXB4	4
GO:0061314	Notch signaling involved in heart development	4/1419	11/18870	0.006840723480376988	0.04559150403685832	0.03456533790072435	NOTCH2/HEYL/SNAI1/SNAI2	4
GO:0072015	podocyte development	4/1419	11/18870	0.006840723480376988	0.04559150403685832	0.03456533790072435	NOTCH2/NPHS1/IQGAP1/MYO1E	4
GO:2000833	positive regulation of steroid hormone secretion	4/1419	11/18870	0.006840723480376988	0.04559150403685832	0.03456533790072435	DAB2/GAL/C1QTNF1/SPP1	4
