gene_id	gene_symbol	baseMean	log2FoldChange	lfcSE	pvalue	padj
ENSG00000139329.5	LUM	1328.8507853152225	-1.127036050193936	0.12887556795510485	1.7317680558327534e-19	2.2696200766515346e-17
ENSG00000064300.9	NGFR	475.22528659882744	-1.5015704732880275	0.17257866887884307	2.0211535906977516e-19	2.629826175637377e-17
ENSG00000133124.12	IRS4	2725.2460692185064	-1.0956389546963854	0.12557101513478194	2.107944548940033e-19	2.7231632222949597e-17
ENSG00000126768.13	TIMM17B	1718.9613301121724	1.0004369267207422	0.11501631022600295	2.8676019528067144e-19	3.678258788543421e-17
ENSG00000112394.18	SLC16A10	1472.533114588648	1.2101139168835013	0.13938532635258238	2.8923299726219264e-19	3.6838506961155045e-17
ENSG00000152611.12	CAPSL	399.1203657036642	1.4974438509168195	0.17273751607151228	2.950866139210141e-19	3.732123426136686e-17
ENSG00000079215.15	SLC1A3	1872.6699992833683	1.0940150842342113	0.12619302132816762	3.5682139286243937e-19	4.481577577298666e-17
ENSG00000229847.9	EMX2OS	388.4633978659728	1.4511924446623186	0.169215998294512	6.588943371647318e-19	8.106641484327442e-17
ENSG00000144451.20	SPAG16	998.1819427109402	1.0508728109009784	0.12234909758778532	7.393026538729429e-19	9.034478241855437e-17
ENSG00000092969.12	TGFB2	808.8520513051984	1.2421768561244024	0.14525137706801416	9.156834629405483e-19	1.1114799403183057e-16
ENSG00000105472.14	CLEC11A	146.196707012673	7.454245820522062	0.8254723887028054	9.315957700806601e-19	1.123256073178588e-16
ENSG00000289168.1	ENSG00000289168	84.45886245006308	-3.850417130840529	0.4495864748091204	1.0197300404931241e-18	1.2213799677058705e-16
ENSG00000198680.6	TUSC1	349.9834045246253	1.5068603332014194	0.1768699821477289	1.056718126363491e-18	1.2573555285138222e-16
ENSG00000218739.10	CEBPZOS	429.46350298254765	1.3810097352016963	0.1620749166630345	1.0929108634734663e-18	1.291920645541249e-16
ENSG00000154330.13	PGM5	597.8271070098441	1.3915347328070045	0.1633903153404351	1.155396826268846e-18	1.3569160389544381e-16
ENSG00000259439.3	LINC01833	249.29454111694548	1.8167031643289873	0.21366431692932358	1.1653506188394666e-18	1.3597762124084253e-16
ENSG00000183775.11	KCTD16	1232.190211874993	1.2018038937407776	0.14196560199291977	1.9319907661436657e-18	2.239870833107329e-16
ENSG00000172238.6	ATOH1	87.61321249727973	-5.243435007532018	0.609539597489041	2.059304875702387e-18	2.37226675044289e-16
ENSG00000136535.15	TBR1	493.870196075358	1.3061040980752332	0.15463887998585973	2.1554558586193788e-18	2.460238706853325e-16
ENSG00000140057.9	AK7	899.6215746077033	1.1492941172124334	0.13635755288932486	2.7644880479800366e-18	3.124908177235434e-16
ENSG00000105479.16	ODAD1	171.52669628376208	2.073137373445721	0.24873374303445145	4.704404289732756e-18	5.219868465282615e-16
ENSG00000120675.6	DNAJC15	555.6333733453405	-1.2926857654078963	0.15503648202368392	5.236902843639189e-18	5.775282001832828e-16
ENSG00000128918.15	ALDH1A2	160.8626182274314	2.252896910548845	0.27096014635846155	5.35467945294789e-18	5.86937773248579e-16
ENSG00000290376.1	HERC2P3	81.89543066786383	3.427478190588589	0.4109065849862612	5.67246809791941e-18	6.180256507166895e-16
ENSG00000100918.14	REC8	455.58672168315275	1.4166376783591264	0.17028440516090454	5.976273826513346e-18	6.472268768043137e-16
ENSG00000060656.20	PTPRU	1731.7701567329498	1.0131690939430757	0.12147271315157156	6.87891277974061e-18	7.233256775255155e-16
ENSG00000107731.12	UNC5B	826.7683420730411	1.141447387893381	0.13718020411203624	6.8780346589083e-18	7.233256775255155e-16
ENSG00000161681.17	SHANK1	89.54891663680861	3.1733994309761364	0.3816893826781704	6.84297992689095e-18	7.233256775255155e-16
ENSG00000102359.9	SRPX2	224.92029107915369	-1.8147568120579918	0.21890287532446648	6.878227653986499e-18	7.233256775255155e-16
ENSG00000180772.8	AGTR2	79.21632540702933	5.191019441023612	0.6126832397217715	7.387055857972945e-18	7.722675852445011e-16
ENSG00000174279.5	EVX2	81.71723748489299	-3.4645832039673286	0.41624518389846943	7.498602825347534e-18	7.794237396507787e-16
ENSG00000120708.17	TGFBI	2941.9333551939044	2.2411359222927048	0.2715812442778487	8.025167209399793e-18	8.293895665668838e-16
ENSG00000125285.6	SOX21	824.8362007925818	-1.2434389024546892	0.1509518724803701	1.247918317408657e-17	1.2823778800371007e-15
ENSG00000107562.18	CXCL12	468.8226528176797	3.3427308231130053	0.40968855753896344	1.6892071082220532e-17	1.7260451841414718e-15
