ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0050808	synapse organization	26/467	483/18870	1.89903367699027e-4	0.003906302434016255	0.0031818006303322116	LRRC4B/THBS2/RELN/POU4F1/GPC4/FLRT2/CNKSR2/PCDHB5/LMX1A/C1QL1/CBLN2/SHANK1/SRPX2/ASIC2/PCDH8/NPTX1/POTEF/APOE/CNTN2/PCDHGC3/POTEE/PPFIA4/PCDHB16/SYNPO/LRFN2/SIX1	26
GO:0051402	neuron apoptotic process	18/467	278/18870	2.081790906622342e-4	0.004216688724127907	0.003434619583858128	POU4F1/NES/TFAP2B/CHL1/NR4A2/NGFR/TGFB2/UNC5B/AGTR2/KDR/ANGPT1/APOE/PCDHGC3/PCSK9/EN2/SIX1/BARHL1/FOXB1	18
GO:0007599	hemostasis	16/467	231/18870	2.1756627044931478e-4	0.004335821834488561	0.003531657079556903	CSRP1/TFPI2/F13A1/SHH/TFPI/ADAMTS18/PDPN/APOE/FLI1/F2RL2/FAP/PDGFB/DGKK/FOXA2/VTN/PEAR1	16
GO:0090287	regulation of cellular response to growth factor stimulus	21/467	357/18870	2.4036664949323523e-4	0.00463230873052497	0.003773154559239748	SORL1/TFAP2B/SFRP1/GREM1/FGFBP3/PMEPA1/LRP2/DLL1/NGFR/AGTR2/GREM2/MSX1/RUNX2/PTP4A3/HOXA13/ITGA8/KDR/FOXD1/VTN/MYOCD/VEGFA	21
GO:0061053	somite development	9/467	85/18870	2.5108625812952326e-4	0.004792367522952919	0.003903527251892184	TBX18/SFRP1/DLL1/ALDH1A2/SHH/DLL3/PCDH8/SIX1/FOXB1	9
GO:0030509	BMP signaling pathway	13/467	167/18870	2.726938601235481e-4	0.00513078021180325	0.004179174548762982	SORL1/GDF7/TFAP2B/SFRP1/GREM1/LRP2/GREM2/MSX1/RUNX2/HOXA13/KDR/FOXD1/RGMB	13
GO:0033273	response to vitamin	9/467	86/18870	2.7440342739623927e-4	0.0051385924847314616	0.0041855378796486955	CYP26A1/SFRP1/CAT/ALDH1A2/MN1/TYR/RUNX2/BCHE/COL1A1	9
GO:0072089	stem cell proliferation	11/467	125/18870	2.7892649628994987e-4	0.005198770846343197	0.00423455496220769	NES/PRRX1/TBX3/SHOX2/SHH/HMGA2/RUNX2/MECOM/KDR/PTPRC/NR2E1	11
GO:0071695	anatomical structure maturation	17/467	261/18870	2.8917059584239083e-4	0.005364519932216316	0.004369562569738439	GREM1/NR4A2/SOX8/C1QL1/TGFB2/ALDH1A2/REC8/RET/RUNX2/KDR/REN/CDH3/CNTN2/SIX3/VEGFA/HOXA5/SCARF1	17
GO:0002064	epithelial cell development	15/467	214/18870	2.9897076199730203e-4	0.005520529884322275	0.0044966373603706825	SOX8/DLL1/BCL11B/DACT2/CLDN1/HOXA13/KDR/SLC4A5/PDGFB/INSM1/CLDN3/TJP3/SIX3/VEGFA/HOXA5	15
