ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:2000027	regulation of animal organ morphogenesis	15/672	126/18870	4.2521529594215726e-5	0.0013754413144251413	0.0010824492496057064	NOG/PRICKLE1/SULF1/BMP2/GATA3/WNT2B/SIX2/MSX1/BMP4/GREM1/AGT/EDN1/DAB2/RSPO3/WNT3A	15
GO:0001704	formation of primary germ layer	15/672	128/18870	5.1151210510106687e-5	0.001543141822700561	0.0012144267374399236	NOG/KLF4/FGFR2/ITGA2/SIX2/BMP4/EOMES/MMP14/FN1/COL7A1/LEF1/COL5A1/COL12A1/COL8A1/WNT3A	15
GO:0001819	positive regulation of cytokine production	36/672	499/18870	5.160032593257396e-5	0.001543141822700561	0.0012144267374399236	OAS1/RSAD2/OAS2/EIF2AK2/ISG15/STAT1/SULF1/IFIH1/ROCK2/GATA3/OAS3/CD55/FERMT1/DHX58/EGR1/RBM47/RORA/POLR3G/HLA-F/ZC3HAV1/B2M/RASGRP1/AGT/PRKCQ/ADRA2A/P2RX7/SPHK1/TRIM56/CCBE1/ABCC8/IFI16/POSTN/CD4/CYBA/CD74/WNT3A	36
GO:0050673	epithelial cell proliferation	35/672	480/18870	5.279604110792793e-5	0.001569032346676233	0.0012348021456492356	MYC/NOG/STAT1/SULF1/LIPA/TCF7L2/FGFR2/GATA2/PHOX2B/GATA3/BRCA2/FERMT1/TACR1/HSPG2/COL8A2/BMP4/B2M/SERPINF1/EPPK1/NFKBIZ/MMP14/CDH3/SPARC/LGR5/PPP1R16B/EGR3/CCN3/ANG/DAB2/PROK2/COL8A1/IGFBP4/FAP/ARX/WNT3A	35
GO:0007588	excretion	7/672	29/18870	5.5404426242708704e-5	0.0016262225110128387	0.0012798098459573064	LIPA/CORIN/TACR1/CHRNB4/AGT/EDN1/NHERF1	7
GO:0031032	actomyosin structure organization	20/672	208/18870	5.681612966685664e-5	0.0016574275862938853	0.001304367716923961	ELN/ROCK2/PDGFRA/PDGFRB/TACR1/CCDC88A/LMOD1/MET/CGNL1/KRT19/MYH9/NRAP/ACTC1/EPB41L4B/TPM1/FHDC1/EDN1/CNN1/KRT8/MYL9	20
GO:0001892	embryonic placenta development	12/672	88/18870	6.50971827078093e-5	0.001859607739957293	0.0014634801074875593	FGFR2/GATA2/BPTF/TTPA/EOMES/KRT19/CCN1/LEF1/SOCS3/KRT8/EPAS1/RSPO3	12
GO:0060560	developmental growth involved in morphogenesis	22/672	244/18870	6.526552768353536e-5	0.001859607739957293	0.0014634801074875593	PRICKLE1/FGFR2/GOLGA4/KIAA0319/MACF1/NIN/COBL/SLIT3/BMP4/RDH10/MAP1B/SEMA5B/LHX2/SEMA3B/SEMA3C/FN1/EDN1/POSTN/TGFBR2/MT3/FMN1/WNT3A	22
GO:0051960	regulation of nervous system development	34/672	466/18870	6.651277308545377e-5	0.0018714096805996015	0.0014727680368657003	NOG/SLITRK6/BMP2/GOLGA4/GATA2/KIAA0319/MACF1/HAPLN1/NIN/KIF14/GBX1/B2M/MAP1B/SERPINF1/SEMA5B/LHX2/HOXB3/LRRTM1/SEMA3B/OLIG2/SEMA3C/DAAM2/FN1/OPRM1/PLXND1/ASPM/ABCC8/HES2/TGM2/HAPLN3/LEF1/MT3/WNT3A/DLX1	34
GO:0150115	cell-substrate junction organization	13/672	102/18870	6.698658630551487e-5	0.001873654222839548	0.0014745344539696928	PRICKLE1/ROCK2/ITGA2/PEAK1/MACF1/DST/GREM1/MMP14/FN1/ACTN1/TLN1/THSD1/FMN1	13
